Station,Date/Time,Mean Temperature (°C),Minimum Temperature (°C),Time of Minimum Temperature (hhmm),Maximum Temperature (°C),Time of Maximum Temperature (hhmm),Duration of Precipitation (hr),Maximum 10-minute Rainfall (mm),Time of Max 10-minute Rainfall (hhmm),Maximum 1-hour Rainfall (mm),Time of Max 1-hour Rainfall (hhmm),Daily Precipitation (mm),Maximum Instantaneous Wind Speed (m/s),Wind Direction of Max Instantaneous Wind (16-point compass),Time of Max Instantaneous Wind (hhmm),Maximum Wind Speed (m/s),Wind Direction of Maximum Wind (16-point compass),Time of Maximum Wind (hhmm),Mean Wind Speed (m/s),Wind Run (×100 m),Mean Dew Point Temperature (°C),Minimum Relative Humidity (%),Time of Minimum Relative Humidity (hhmm),Mean Relative Humidity (%),Mean Vapor Pressure (hPa),Mean Station Pressure (hPa),Maximum Sea-Level Pressure (hPa),Time of Maximum Sea-Level Pressure (hhmm),Minimum Sea-Level Pressure (hPa),Time of Minimum Sea-Level Pressure (hhmm),Mean Sea-Level Pressure (hPa),Sunshine Duration (hr),Total Sunshine Hours (hr),Time of Max Hourly Solar Radiation (hhmm),Maximum Hourly Solar Radiation (MJ/m²),Total Solar Radiation (MJ/m²),Daily Fresh Snow Depth (cm),Time of Max Fresh Snow Depth (hhmm),Daily Maximum Snow Depth (cm),Time of Max Snow Depth (hhmm),3-Hour Snow Accumulation Total (cm),Mean Total Cloud Cover (1/10),Mean Mid-/Low-level Cloud Cover (1/10),Mean Ground Temperature (°C),Minimum Grass Temperature (°C),Mean 5cm Soil Temperature (°C),Mean 10cm Soil Temperature (°C),Mean 20cm Soil Temperature (°C),Mean 30cm Soil Temperature (°C),Soil Temperature at 0.5m (°C),Soil Temperature at 1.0m (°C),Soil Temperature at 1.5m (°C),Soil Temperature at 3.0m (°C),Soil Temperature at 5.0m (°C),Total Large Pan Evaporation (mm),Total Small Pan Evaporation (mm),9-to-9 Precipitation (mm),Duration of Fog (hr)
108,1/1/2010,-7.6,-12.7,654,-3.6,1501,,,,,,,7.5,340,105,3.4,70,2350,1.9,1608,-16.9,30,1137,48,1.7,1010.6,1024.4,5,1019.4,2356,1021.7,9.6,7.3,1100,1.51,8.63,,,2.2,0,,3.8,2.3,-4.6,-13,-3.4,-1.7,-0.7,0.5,2.4,6.1,9.2,15.2,17.2,,0.6,1.1,
108,1/2/2010,-3.6,-7.4,2359,0.2,1524,6.57,,,,,1.4,7.2,290,1634,5,290,2243,2.8,2427,-7.2,57,2,76.4,3.6,1006.2,1021.4,2354,1014.1,1407,1017.2,9.6,0.8,1300,0.9,3.56,1.6,1125,3.5,1125,1.6,6,3.8,-1.7,-7.5,-1.3,-0.7,-0.3,0.4,2.3,5.9,9,15.1,17.2,,0.1,0.3,0.53
108,1/3/2010,-6.8,-10.5,748,-3.2,1438,,,,,,,7.2,290,129,5.1,290,721,2.2,1882,-15.9,32,1534,49.3,1.8,1010.7,1024.1,1042,1020.2,2159,1021.8,9.7,8.2,1200,1.79,9.95,,,3.2,0,,2.6,1.1,-3.3,-10.6,-2.6,-1.2,-0.5,0.4,2.3,5.9,9,15.1,17.2,,1,8,
108,1/4/2010,-5.9,-8,2400,-3.4,1425,13.03,,,,,14.2,7.9,90,630,4.9,320,1516,3,2633,-8.1,51,0,84.1,3.4,1002.4,1020.8,28,1007.9,1302,1013.4,9.7,0.1,1400,0.74,2.87,25.8,1355,28.5,1355,25.8,7.5,6.3,-1.9,-8.5,-1.5,-0.8,-0.4,0.4,2.2,5.7,8.8,14.9,17.1,,0.3,6.2,
108,1/5/2010,-9.9,-12.3,2333,-7,1506,0.95,,,,,0,7.6,290,1533,4.8,290,116,2.9,2492,-15,48,1534,66.4,1.9,1011.4,1025.3,2333,1017.4,0,1022.6,9.7,7.5,1200,1.82,9.99,,,25.6,0,,2.1,2.1,-0.7,-13.1,-0.6,-0.3,-0.1,0.4,2.2,5.7,8.8,14.9,17.2,,0.9,,
108,1/6/2010,-11.2,-13.3,627,-8.1,1350,,,,,,,6.6,290,1343,4.1,290,1344,1.9,1613,-16.4,47,1411,65.5,1.7,1014.4,1027.2,2251,1024.6,1353,1025.8,9.7,9,1200,1.8,10.59,,,21.5,0,,1.3,1.3,-0.9,-13.5,-0.8,-0.3,-0.1,0.5,2.2,5.7,8.6,14.8,17.1,,1.1,,
108,1/7/2010,-10.1,-13.6,554,-5.5,1450,,,,,,,5.5,290,1728,3.8,270,1612,1.7,1459,-15.3,43,1424,66.8,1.9,1015.5,1028.2,1012,1025.6,1512,1026.8,9.7,8.8,1300,1.66,9.64,,,17.1,0,,0,0,-1,-14.1,-0.8,-0.4,-0.1,0.5,2.1,5.6,8.5,14.7,17.1,,0.7,,
108,1/8/2010,-8,-11.8,657,-3.3,1509,,,,,,,5.8,320,1804,4,290,1742,1.7,1504,-13.1,48,1525,67.4,2.3,1013.9,1026.4,928,1023.2,1440,1025.1,9.7,7.4,1200,1.7,9.18,,,16.5,0,,1.4,1,-1,-11.9,-0.8,-0.4,-0.1,0.5,2,5.5,8.4,14.5,17,,0.4,,
108,1/9/2010,-5.1,-8.7,528,-1.9,1438,3.92,,,,,0.4,4.8,50,1018,2.9,70,1017,1.5,1279,-8.8,53,1339,75.8,3.2,1014.7,1027.2,2337,1023.9,1415,1025.8,9.7,0,1100,0.92,4.86,0.5,1822,15.5,0,0.5,7.8,5.6,-0.8,-10.2,-0.6,-0.3,0,0.6,2.1,5.4,8.3,14.5,17,,0.7,0.4,
108,1/10/2010,-3.4,-5.3,507,-0.3,1418,,,,,,,5.7,340,1831,3.6,290,1537,1.7,1491,-6.5,59,1401,79.1,3.8,1016.2,1029.4,1001,1025.7,1437,1027.2,9.8,2,1200,1.27,6.28,,,15.5,0,,4.1,3.3,-0.4,-5.3,-0.3,-0.1,0,0.6,2,5.3,8.2,14.4,17,,2.5,,
